ope6_id,name,city,state,zip,college_url,ownership,locale,carnegie_basic,acceptance_rate,sat_25,sat_75,sat_math_25,sat_math_75,sat_cr_25,sat_cr_75,sat_avg,sat_range,act_25,act_75,act_mid,act_range,enrollment,retention_rate,student_faculty_ratio,pct_men,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_two_or_more,tuition_in_state,tuition_out_state,net_price,cost_attendance,median_debt,pell_rate,loan_rate,grad_rate,earnings_6yr,earnings_8yr,earnings_10yr
001824,Oakland City University,Oakland City,IN,47660-1099,www.oak.edu/,Private,Rural,17,68.2,,,,,,,,,,,19,,470,68.0,12,66.6,33.4,55.3,16.4,5.3,0.6,5.7,27150,27150,12820,39307,16758,31.9,34.7,62.4,30700,46203,43283
002303,Oakland Community College,Auburn Hills,MI,48326-2845,https://www.oaklandcc.edu/,Public,Suburb,2,,,,,,,,,,,,,,11772,,22,44.4,55.6,51.2,21.1,6.7,2.9,4.8,3020,5560,4568,11487,9105,27.4,15.4,,28700,32401,37395
002307,Oakland University,Rochester Hills,MI,48309-4401,www.oakland.edu/,Public,Suburb,16,70.2,995,1185,475,565,520,620,1110,995-1185,,,25,,12450,75.2,17,42.7,57.3,70.1,9.6,5.4,6.1,4.1,14694,23188,13584,25016,22750,29.8,38.9,57.3,39700,53392,58612
001033,Oakwood University,Huntsville,AL,35896,https://www2.oakwood.edu/,Private,City,21,50.5,,,,,,,,,,,,,1253,63.9,10,41.6,58.4,1.5,69.3,7.7,0.0,2.5,21838,21838,23384,38592,27000,47.3,57.5,47.8,25800,36092,42488
003086,Oberlin College,Oberlin,OH,44074,www.oberlin.edu/,Private,Town,21,33.0,1370,1510,670,750,700,760,1440,1370-1510,30,33,32,30-33,2950,88.8,9,41.5,58.5,62.0,4.4,8.2,5.3,9.3,64646,64646,39184,84230,26000,8.8,32.9,81.5,30700,46579,58343
003595,Oblate School of Theology,San Antonio,TX,78216-6693,www.ost.edu/,Private,City,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001249,Occidental College,Los Angeles,CA,90041-3392,https://www.oxy.edu/,Private,City,21,39.9,1360,1500,670,750,690,750,1461,1360-1500,31,34,32,31-34,1844,87.2,9,41.2,58.8,48.0,4.1,17.5,13.3,11.3,63446,63446,39329,80636,23000,16.0,38.8,84.0,40700,64002,75951
002624,Ocean County College,Toms River,NJ,08754-2001,www.ocean.edu/,Public,Suburb,3,,,,,,,,,,,,,,5566,,20,44.1,55.9,64.5,5.5,21.8,2.5,3.3,4690,6850,10576,16424,11150,26.5,6.3,,31100,42110,45210
003596,Odessa College,Odessa,TX,79764,www.odessa.edu/,Public,City,6,,,,,,,,,,,,,,4176,60.5,24,35.0,65.0,20.2,6.0,69.3,1.1,0.0,2640,4806,9296,12315,7750,25.5,2.9,25.7,36000,40503,42026
014659,Oglala Lakota College,Kyle,SD,57752-0490,www.olc.edu/,Public,Rural,33,,,,,,,,,,,,,,1156,53.6,11,27.7,72.3,1.7,0.0,0.4,0.1,0.9,2684,2684,2065,9841,,46.9,0.0,9.8,18400,21526,22517
001586,Oglethorpe University,Atlanta,GA,30319-2797,oglethorpe.edu/,Private,Suburb,21,60.1,1106,1320,533,650,573,670,1230,1106-1320,23,30,27,23-30,1429,75.1,14,38.1,61.9,29.5,20.2,28.3,3.8,3.8,45806,45806,21735,59320,25000,33.7,67.3,55.5,37500,50337,55232
003030,Ohio Christian University,Circleville,OH,43113-9487,www.ohiochristian.edu/,Private,Rural,19,39.9,,,,,,,910,,15,17,,15-17,816,50.5,11,43.5,56.5,67.4,17.8,4.4,0.7,3.3,23700,23700,21607,33472,29579,33.8,44.6,33.8,32600,33843,39813
